answer_ref,candidate_id,role,question_id,scored_on,scorer_1,score_1,scorer_2,score_2
S0063,C3021,Finance Analyst,Q3,2026-08-15,lan.pham@example.com,1,minh.tran@example.com,1
S0064,C3021,Finance Analyst,Q4,2026-08-15,lan.pham@example.com,1,minh.tran@example.com,2
S0065,C3021,Finance Analyst,Q5,2026-08-15,lan.pham@example.com,3,minh.tran@example.com,3
S0066,C3021,Finance Analyst,Q6,2026-08-15,lan.pham@example.com,3,minh.tran@example.com,3
S0067,C3045,Customer Success Associate,Q1,2026-08-12,lan.pham@example.com,2,minh.tran@example.com,2
S0068,C3045,Customer Success Associate,Q2,2026-08-12,lan.pham@example.com,3,minh.tran@example.com,3
S0069,C3045,Customer Success Associate,Q3,2026-08-12,lan.pham@example.com,2,minh.tran@example.com,2
S0070,C3045,Customer Success Associate,Q4,2026-08-12,lan.pham@example.com,1,minh.tran@example.com,3
S0071,C3045,Customer Success Associate,Q5,2026-08-12,lan.pham@example.com,1,minh.tran@example.com,2
S0072,C3045,Customer Success Associate,Q6,2026-08-12,lan.pham@example.com,2,minh.tran@example.com,2
S0073,C3067,Customer Success Associate,Q1,2026-08-17,lan.pham@example.com,4,minh.tran@example.com,2
S0074,C3067,Customer Success Associate,Q2,2026-08-17,lan.pham@example.com,2,minh.tran@example.com,2
S0075,C3067,Customer Success Associate,Q3,2026-08-17,lan.pham@example.com,3,minh.tran@example.com,3
S0076,C3067,Customer Success Associate,Q4,2026-08-17,lan.pham@example.com,1,minh.tran@example.com,1
S0077,C3067,Customer Success Associate,Q5,2026-08-17,lan.pham@example.com,4,minh.tran@example.com,3
S0078,C3067,Customer Success Associate,Q6,2026-08-17,lan.pham@example.com,2,minh.tran@example.com,2
S0079,C3042,Backend Engineer,Q1,2026-08-09,lan.pham@example.com,3,minh.tran@example.com,3
S0080,C3042,Backend Engineer,Q2,2026-08-09,lan.pham@example.com,3,minh.tran@example.com,1
S0081,C3042,Backend Engineer,Q3,2026-08-09,lan.pham@example.com,2,minh.tran@example.com,3
S0082,C3042,Backend Engineer,Q4,2026-08-09,lan.pham@example.com,3,minh.tran@example.com,3
S0083,C3042,Backend Engineer,Q5,2026-08-09,lan.pham@example.com,3,minh.tran@example.com,3
S0084,C3042,Backend Engineer,Q6,2026-08-09,lan.pham@example.com,2,minh.tran@example.com,2
S0085,C3032,Sales Executive,Q1,2026-08-12,lan.pham@example.com,3,minh.tran@example.com,2
S0086,C3032,Sales Executive,Q2,2026-08-12,lan.pham@example.com,3,minh.tran@example.com,2
S0087,C3032,Sales Executive,Q3,2026-08-12,lan.pham@example.com,2,minh.tran@example.com,4
S0088,C3032,Sales Executive,Q4,2026-08-12,lan.pham@example.com,2,minh.tran@example.com,2
S0089,C3032,Sales Executive,Q5,2026-08-12,lan.pham@example.com,1,minh.tran@example.com,2
S0090,C3032,Sales Executive,Q6,2026-08-12,lan.pham@example.com,3,minh.tran@example.com,3
S0091,C3118,Backend Engineer,Q1,2026-08-18,lan.pham@example.com,3,minh.tran@example.com,3
S0092,C3118,Backend Engineer,Q2,2026-08-18,lan.pham@example.com,2,minh.tran@example.com,4
S0093,C3118,Backend Engineer,Q3,2026-08-18,lan.pham@example.com,2,minh.tran@example.com,2
S0094,C3118,Backend Engineer,Q4,2026-08-18,lan.pham@example.com,2,minh.tran@example.com,3
S0095,C3118,Backend Engineer,Q5,2026-08-18,lan.pham@example.com,2,minh.tran@example.com,2
S0096,C3118,Backend Engineer,Q6,2026-08-18,lan.pham@example.com,1,minh.tran@example.com,2
S0097,C3060,Marketing Coordinator,Q1,2026-08-15,lan.pham@example.com,3,minh.tran@example.com,3
S0098,C3060,Marketing Coordinator,Q2,2026-08-15,lan.pham@example.com,4,minh.tran@example.com,4
S0099,C3060,Marketing Coordinator,Q3,2026-08-15,lan.pham@example.com,1,minh.tran@example.com,1
S0100,C3060,Marketing Coordinator,Q4,2026-08-15,lan.pham@example.com,3,minh.tran@example.com,4
S0101,C3060,Marketing Coordinator,Q5,2026-08-15,lan.pham@example.com,4,minh.tran@example.com,4
S0102,C3060,Marketing Coordinator,Q6,2026-08-15,lan.pham@example.com,3,minh.tran@example.com,3
S0103,C3076,Finance Analyst,Q1,2026-08-19,lan.pham@example.com,1,minh.tran@example.com,2
S0104,C3076,Finance Analyst,Q2,2026-08-19,lan.pham@example.com,1,minh.tran@example.com,1
S0105,C3076,Finance Analyst,Q3,2026-08-19,lan.pham@example.com,4,minh.tran@example.com,4
S0106,C3076,Finance Analyst,Q4,2026-08-19,lan.pham@example.com,2,minh.tran@example.com,1
S0107,C3076,Finance Analyst,Q5,2026-08-19,lan.pham@example.com,1,minh.tran@example.com,3
S0108,C3076,Finance Analyst,Q6,2026-08-19,lan.pham@example.com,1,minh.tran@example.com,1
S0109,C3083,Sales Executive,Q1,2026-08-15,lan.pham@example.com,4,minh.tran@example.com,4
S0110,C3083,Sales Executive,Q2,2026-08-15,lan.pham@example.com,1,minh.tran@example.com,1
S0111,C3083,Sales Executive,Q3,2026-08-15,lan.pham@example.com,3,minh.tran@example.com,1
S0112,C3083,Sales Executive,Q4,2026-08-15,lan.pham@example.com,2,minh.tran@example.com,2
S0113,C3083,Sales Executive,Q5,2026-08-15,lan.pham@example.com,2,minh.tran@example.com,1
S0114,C3083,Sales Executive,Q6,2026-08-15,lan.pham@example.com,4,minh.tran@example.com,4
S0115,C3102,Customer Success Associate,Q1,2026-08-17,lan.pham@example.com,4,minh.tran@example.com,4
S0116,C3102,Customer Success Associate,Q2,2026-08-17,lan.pham@example.com,1,minh.tran@example.com,3
S0117,C3102,Customer Success Associate,Q3,2026-08-17,lan.pham@example.com,4,minh.tran@example.com,2
S0118,C3102,Customer Success Associate,Q4,2026-08-17,lan.pham@example.com,3,minh.tran@example.com,3
S0119,C3102,Customer Success Associate,Q5,2026-08-17,lan.pham@example.com,2,minh.tran@example.com,2
S0120,C3102,Customer Success Associate,Q6,2026-08-17,lan.pham@example.com,1,minh.tran@example.com,2
S0121,C3071,Marketing Coordinator,Q1,2026-08-22,lan.pham@example.com,3,minh.tran@example.com,4
S0122,C3071,Marketing Coordinator,Q2,2026-08-22,lan.pham@example.com,4,minh.tran@example.com,4
S0123,C3071,Marketing Coordinator,Q3,2026-08-22,lan.pham@example.com,2,minh.tran@example.com,1
S0124,C3071,Marketing Coordinator,Q4,2026-08-22,lan.pham@example.com,3,minh.tran@example.com,4
S0125,C3071,Marketing Coordinator,Q5,2026-08-22,lan.pham@example.com,3,minh.tran@example.com,1
S0126,C3071,Marketing Coordinator,Q6,2026-08-22,lan.pham@example.com,4,minh.tran@example.com,4
S0127,C3090,Backend Engineer,Q1,2026-08-16,lan.pham@example.com,2,minh.tran@example.com,4
S0128,C3090,Backend Engineer,Q2,2026-08-16,lan.pham@example.com,3,minh.tran@example.com,3
S0129,C3090,Backend Engineer,Q3,2026-08-16,lan.pham@example.com,3,minh.tran@example.com,3
S0130,C3090,Backend Engineer,Q4,2026-08-16,lan.pham@example.com,4,minh.tran@example.com,4
S0131,C3090,Backend Engineer,Q5,2026-08-16,lan.pham@example.com,3,minh.tran@example.com,3
S0132,C3090,Backend Engineer,Q6,2026-08-16,lan.pham@example.com,3,minh.tran@example.com,3
S0133,C3092,Sales Executive,Q1,2026-08-16,lan.pham@example.com,4,minh.tran@example.com,4
S0134,C3092,Sales Executive,Q2,2026-08-16,lan.pham@example.com,3,minh.tran@example.com,2
S0135,C3092,Sales Executive,Q3,2026-08-16,lan.pham@example.com,4,minh.tran@example.com,4
S0136,C3092,Sales Executive,Q4,2026-08-16,lan.pham@example.com,3,minh.tran@example.com,3
S0137,C3092,Sales Executive,Q5,2026-08-16,lan.pham@example.com,4,minh.tran@example.com,4
S0138,C3092,Sales Executive,Q6,2026-08-16,lan.pham@example.com,3,minh.tran@example.com,3
S0139,C3145,Finance Analyst,Q1,2026-08-18,lan.pham@example.com,3,minh.tran@example.com,3
S0140,C3145,Finance Analyst,Q2,2026-08-18,lan.pham@example.com,3,minh.tran@example.com,3
S0141,C3145,Finance Analyst,Q3,2026-08-18,lan.pham@example.com,3,minh.tran@example.com,2
S0142,C3145,Finance Analyst,Q4,2026-08-18,lan.pham@example.com,4,minh.tran@example.com,4
S0143,C3145,Finance Analyst,Q5,2026-08-18,lan.pham@example.com,3,minh.tran@example.com,3
S0144,C3145,Finance Analyst,Q6,2026-08-18,lan.pham@example.com,3,minh.tran@example.com,3
S0145,C3161,Marketing Coordinator,Q1,2026-08-16,lan.pham@example.com,2,minh.tran@example.com,1
S0146,C3161,Marketing Coordinator,Q2,2026-08-16,lan.pham@example.com,1,minh.tran@example.com,1
S0147,C3161,Marketing Coordinator,Q3,2026-08-16,lan.pham@example.com,1,minh.tran@example.com,1
S0148,C3161,Marketing Coordinator,Q4,2026-08-16,lan.pham@example.com,2,minh.tran@example.com,2
S0149,C3161,Marketing Coordinator,Q5,2026-08-16,lan.pham@example.com,1,minh.tran@example.com,1
S0150,C3161,Marketing Coordinator,Q6,2026-08-16,lan.pham@example.com,2,minh.tran@example.com,2
S0151,C3078,Customer Success Associate,Q1,2026-08-17,lan.pham@example.com,2,minh.tran@example.com,2
S0152,C3078,Customer Success Associate,Q2,2026-08-17,lan.pham@example.com,2,minh.tran@example.com,2
S0153,C3078,Customer Success Associate,Q3,2026-08-17,lan.pham@example.com,1,minh.tran@example.com,1
S0154,C3078,Customer Success Associate,Q4,2026-08-17,lan.pham@example.com,2,minh.tran@example.com,1
S0155,C3078,Customer Success Associate,Q5,2026-08-17,lan.pham@example.com,2,minh.tran@example.com,2
S0156,C3078,Customer Success Associate,Q6,2026-08-17,lan.pham@example.com,3,minh.tran@example.com,3
S0157,C3131,Customer Success Associate,Q1,2026-08-16,lan.pham@example.com,1,minh.tran@example.com,2
S0158,C3131,Customer Success Associate,Q2,2026-08-16,lan.pham@example.com,3,minh.tran@example.com,4
S0159,C3131,Customer Success Associate,Q3,2026-08-16,lan.pham@example.com,2,minh.tran@example.com,2
S0160,C3131,Customer Success Associate,Q4,2026-08-16,lan.pham@example.com,2,minh.tran@example.com,4
S0161,C3131,Customer Success Associate,Q5,2026-08-16,lan.pham@example.com,2,minh.tran@example.com,2
S0162,C3131,Customer Success Associate,Q6,2026-08-16,lan.pham@example.com,3,minh.tran@example.com,1
S0163,C3058,Backend Engineer,Q1,2026-08-21,lan.pham@example.com,4,minh.tran@example.com,3
S0164,C3058,Backend Engineer,Q2,2026-08-21,lan.pham@example.com,2,minh.tran@example.com,1
S0165,C3058,Backend Engineer,Q3,2026-08-21,lan.pham@example.com,2,minh.tran@example.com,2
S0166,C3058,Backend Engineer,Q4,2026-08-21,lan.pham@example.com,2,minh.tran@example.com,2
S0167,C3058,Backend Engineer,Q5,2026-08-21,lan.pham@example.com,2,minh.tran@example.com,2
S0168,C3058,Backend Engineer,Q6,2026-08-21,lan.pham@example.com,3,minh.tran@example.com,1
S0169,C3147,Customer Success Associate,Q1,2026-08-29,lan.pham@example.com,4,minh.tran@example.com,2
S0170,C3147,Customer Success Associate,Q2,2026-08-29,lan.pham@example.com,2,minh.tran@example.com,3
S0171,C3147,Customer Success Associate,Q3,2026-08-29,lan.pham@example.com,4,minh.tran@example.com,4
S0172,C3147,Customer Success Associate,Q4,2026-08-29,lan.pham@example.com,3,minh.tran@example.com,3
S0173,C3147,Customer Success Associate,Q5,2026-08-29,lan.pham@example.com,3,minh.tran@example.com,3
S0174,C3147,Customer Success Associate,Q6,2026-08-29,lan.pham@example.com,3,minh.tran@example.com,3
S0175,C3134,Customer Success Associate,Q1,2026-08-17,lan.pham@example.com,1,minh.tran@example.com,1
S0176,C3134,Customer Success Associate,Q2,2026-08-17,lan.pham@example.com,1,minh.tran@example.com,1
S0177,C3134,Customer Success Associate,Q3,2026-08-17,lan.pham@example.com,1,minh.tran@example.com,3
S0178,C3134,Customer Success Associate,Q4,2026-08-17,lan.pham@example.com,2,minh.tran@example.com,2
S0179,C3134,Customer Success Associate,Q5,2026-08-17,lan.pham@example.com,2,minh.tran@example.com,4
S0180,C3134,Customer Success Associate,Q6,2026-08-17,lan.pham@example.com,4,minh.tran@example.com,4
S0181,C3150,Marketing Coordinator,Q1,2026-08-19,lan.pham@example.com,1,minh.tran@example.com,1
S0182,C3150,Marketing Coordinator,Q2,2026-08-19,lan.pham@example.com,1,minh.tran@example.com,1
S0183,C3150,Marketing Coordinator,Q3,2026-08-19,lan.pham@example.com,3,minh.tran@example.com,4
S0184,C3150,Marketing Coordinator,Q4,2026-08-19,lan.pham@example.com,3,minh.tran@example.com,3
S0185,C3150,Marketing Coordinator,Q5,2026-08-19,lan.pham@example.com,2,minh.tran@example.com,2
S0186,C3150,Marketing Coordinator,Q6,2026-08-19,lan.pham@example.com,4,minh.tran@example.com,3
S0187,C3162,Sales Executive,Q1,2026-08-18,lan.pham@example.com,1,minh.tran@example.com,2
S0188,C3162,Sales Executive,Q2,2026-08-18,lan.pham@example.com,1,minh.tran@example.com,1
S0189,C3162,Sales Executive,Q3,2026-08-18,lan.pham@example.com,4,minh.tran@example.com,4
S0190,C3162,Sales Executive,Q4,2026-08-18,lan.pham@example.com,4,minh.tran@example.com,4
S0191,C3162,Sales Executive,Q5,2026-08-18,lan.pham@example.com,3,minh.tran@example.com,3
S0192,C3162,Sales Executive,Q6,2026-08-18,lan.pham@example.com,3,minh.tran@example.com,3
S0193,C3128,Customer Success Associate,Q1,2026-08-23,lan.pham@example.com,1,minh.tran@example.com,2
S0194,C3128,Customer Success Associate,Q2,2026-08-23,lan.pham@example.com,1,minh.tran@example.com,1
S0195,C3128,Customer Success Associate,Q3,2026-08-23,lan.pham@example.com,3,minh.tran@example.com,3
S0196,C3128,Customer Success Associate,Q4,2026-08-23,lan.pham@example.com,2,minh.tran@example.com,2
S0197,C3128,Customer Success Associate,Q5,2026-08-23,lan.pham@example.com,3,minh.tran@example.com,3
S0198,C3128,Customer Success Associate,Q6,2026-08-23,lan.pham@example.com,1,minh.tran@example.com,1
S0199,C3157,Sales Executive,Q1,2026-08-25,lan.pham@example.com,1,minh.tran@example.com,3
S0200,C3157,Sales Executive,Q2,2026-08-25,lan.pham@example.com,4,minh.tran@example.com,3
S0201,C3157,Sales Executive,Q3,2026-08-25,lan.pham@example.com,2,minh.tran@example.com,2
S0202,C3157,Sales Executive,Q4,2026-08-25,lan.pham@example.com,1,minh.tran@example.com,1
S0203,C3157,Sales Executive,Q5,2026-08-25,lan.pham@example.com,1,minh.tran@example.com,1
S0204,C3157,Sales Executive,Q6,2026-08-25,lan.pham@example.com,4,minh.tran@example.com,4
S0205,C3130,Sales Executive,Q1,2026-08-21,lan.pham@example.com,1,minh.tran@example.com,1
S0206,C3130,Sales Executive,Q2,2026-08-21,lan.pham@example.com,3,minh.tran@example.com,3
S0207,C3130,Sales Executive,Q3,2026-08-21,lan.pham@example.com,2,minh.tran@example.com,2
S0208,C3130,Sales Executive,Q4,2026-08-21,lan.pham@example.com,1,minh.tran@example.com,1
S0209,C3130,Sales Executive,Q5,2026-08-21,lan.pham@example.com,1,minh.tran@example.com,2
S0210,C3130,Sales Executive,Q6,2026-08-21,lan.pham@example.com,3,minh.tran@example.com,3
S0211,C3163,Finance Analyst,Q1,2026-08-24,lan.pham@example.com,1,minh.tran@example.com,1
S0212,C3163,Finance Analyst,Q2,2026-08-24,lan.pham@example.com,2,minh.tran@example.com,2
S0213,C3163,Finance Analyst,Q3,2026-08-24,lan.pham@example.com,2,minh.tran@example.com,2
S0214,C3163,Finance Analyst,Q4,2026-08-24,lan.pham@example.com,3,minh.tran@example.com,4
S0215,C3163,Finance Analyst,Q5,2026-08-24,lan.pham@example.com,2,minh.tran@example.com,2
S0216,C3163,Finance Analyst,Q6,2026-08-24,lan.pham@example.com,4,minh.tran@example.com,4
S0217,C3140,Sales Executive,Q1,2026-08-25,lan.pham@example.com,3,minh.tran@example.com,4
S0218,C3140,Sales Executive,Q2,2026-08-25,lan.pham@example.com,3,minh.tran@example.com,3
S0219,C3140,Sales Executive,Q3,2026-08-25,lan.pham@example.com,3,minh.tran@example.com,3
S0220,C3140,Sales Executive,Q4,2026-08-25,lan.pham@example.com,4,minh.tran@example.com,4
S0221,C3140,Sales Executive,Q5,2026-08-25,lan.pham@example.com,4,minh.tran@example.com,4
S0222,C3140,Sales Executive,Q6,2026-08-25,lan.pham@example.com,3,minh.tran@example.com,2
S0223,C3137,Backend Engineer,Q1,2026-08-25,lan.pham@example.com,3,minh.tran@example.com,3
S0224,C3137,Backend Engineer,Q2,2026-08-25,lan.pham@example.com,2,minh.tran@example.com,4
S0225,C3137,Backend Engineer,Q3,2026-08-25,lan.pham@example.com,2,minh.tran@example.com,2
S0226,C3137,Backend Engineer,Q4,2026-08-25,lan.pham@example.com,2,minh.tran@example.com,2
S0227,C3137,Backend Engineer,Q5,2026-08-25,lan.pham@example.com,3,minh.tran@example.com,1
S0228,C3137,Backend Engineer,Q6,2026-08-25,lan.pham@example.com,2,minh.tran@example.com,2
S0229,C3148,Marketing Coordinator,Q1,2026-08-21,lan.pham@example.com,1,minh.tran@example.com,1
S0230,C3148,Marketing Coordinator,Q2,2026-08-21,lan.pham@example.com,2,minh.tran@example.com,2
S0231,C3148,Marketing Coordinator,Q3,2026-08-21,lan.pham@example.com,3,minh.tran@example.com,4
S0232,C3148,Marketing Coordinator,Q4,2026-08-21,lan.pham@example.com,2,minh.tran@example.com,2
S0233,C3148,Marketing Coordinator,Q5,2026-08-21,lan.pham@example.com,1,minh.tran@example.com,1
S0234,C3148,Marketing Coordinator,Q6,2026-08-21,lan.pham@example.com,2,minh.tran@example.com,2
S0235,C3153,Backend Engineer,Q1,2026-08-26,lan.pham@example.com,3,minh.tran@example.com,2
S0236,C3153,Backend Engineer,Q2,2026-08-26,lan.pham@example.com,3,minh.tran@example.com,3
S0237,C3153,Backend Engineer,Q3,2026-08-26,lan.pham@example.com,3,minh.tran@example.com,3
S0238,C3153,Backend Engineer,Q4,2026-08-26,lan.pham@example.com,2,minh.tran@example.com,3
S0239,C3153,Backend Engineer,Q5,2026-08-26,lan.pham@example.com,4,minh.tran@example.com,4
S0240,C3153,Backend Engineer,Q6,2026-08-26,lan.pham@example.com,4,minh.tran@example.com,4
S0241,C3143,Customer Success Associate,Q1,2026-08-22,lan.pham@example.com,3,minh.tran@example.com,3
S0242,C3143,Customer Success Associate,Q2,2026-08-22,lan.pham@example.com,4,minh.tran@example.com,2
S0243,C3143,Customer Success Associate,Q3,2026-08-22,lan.pham@example.com,4,minh.tran@example.com,3
S0244,C3143,Customer Success Associate,Q4,2026-08-22,lan.pham@example.com,3,minh.tran@example.com,3
S0245,C3143,Customer Success Associate,Q5,2026-08-22,lan.pham@example.com,4,minh.tran@example.com,3
S0246,C3143,Customer Success Associate,Q6,2026-08-22,lan.pham@example.com,3,minh.tran@example.com,2
S0247,C3230,Customer Success Associate,Q1,2026-08-28,lan.pham@example.com,2,minh.tran@example.com,2
S0248,C3230,Customer Success Associate,Q2,2026-08-28,lan.pham@example.com,1,minh.tran@example.com,1
S0249,C3230,Customer Success Associate,Q3,2026-08-28,lan.pham@example.com,3,minh.tran@example.com,3
S0250,C3230,Customer Success Associate,Q4,2026-08-28,lan.pham@example.com,3,minh.tran@example.com,4
S0251,C3230,Customer Success Associate,Q5,2026-08-28,lan.pham@example.com,2,minh.tran@example.com,2
S0252,C3230,Customer Success Associate,Q6,2026-08-28,lan.pham@example.com,2,minh.tran@example.com,2
S0253,C3220,Sales Executive,Q1,2026-08-27,lan.pham@example.com,2,minh.tran@example.com,2
S0254,C3220,Sales Executive,Q2,2026-08-27,lan.pham@example.com,3,minh.tran@example.com,3
S0255,C3220,Sales Executive,Q3,2026-08-27,lan.pham@example.com,4,minh.tran@example.com,3
S0256,C3220,Sales Executive,Q4,2026-08-27,lan.pham@example.com,2,minh.tran@example.com,4
S0257,C3220,Sales Executive,Q5,2026-08-27,lan.pham@example.com,3,minh.tran@example.com,3
S0258,C3220,Sales Executive,Q6,2026-08-27,lan.pham@example.com,3,minh.tran@example.com,3
S0259,C3154,Backend Engineer,Q1,2026-08-24,lan.pham@example.com,1,minh.tran@example.com,1
S0260,C3154,Backend Engineer,Q2,2026-08-24,lan.pham@example.com,1,minh.tran@example.com,1
S0261,C3154,Backend Engineer,Q3,2026-08-24,lan.pham@example.com,2,minh.tran@example.com,2
S0262,C3154,Backend Engineer,Q4,2026-08-24,lan.pham@example.com,1,minh.tran@example.com,2
S0263,C3154,Backend Engineer,Q5,2026-08-24,lan.pham@example.com,2,minh.tran@example.com,2
S0264,C3154,Backend Engineer,Q6,2026-08-24,lan.pham@example.com,2,minh.tran@example.com,2
S0265,C3209,Finance Analyst,Q1,2026-08-31,lan.pham@example.com,2,minh.tran@example.com,3
S0266,C3209,Finance Analyst,Q2,2026-08-31,lan.pham@example.com,2,minh.tran@example.com,3
S0267,C3209,Finance Analyst,Q3,2026-08-31,lan.pham@example.com,2,minh.tran@example.com,2
S0268,C3209,Finance Analyst,Q4,2026-08-31,lan.pham@example.com,1,minh.tran@example.com,3
S0269,C3209,Finance Analyst,Q5,2026-08-31,lan.pham@example.com,2,minh.tran@example.com,2
S0270,C3209,Finance Analyst,Q6,2026-08-31,lan.pham@example.com,2,minh.tran@example.com,3
