run_id,date,app_id,explorer_model_usd,reporter_model_usd,device_minutes,device_usd,retries,retry_model_usd,retry_device_minutes,retry_device_usd,total_usd,reports_sent,reports_accepted_by_customer
run-0164,2026-08-07,app-travel-01,2.36,1.89,87.6,10.51,0,0.00,0.0,0.00,14.76,12,8
run-0208,2026-08-07,app-bank-01,2.43,1.56,75.0,9.00,0,0.00,0.0,0.00,12.99,14,6
run-0216,2026-08-07,app-edu-01,2.76,1.54,90.8,10.90,3,6.74,221.7,26.60,48.54,11,9
run-0220,2026-08-07,app-health-01,1.77,1.39,89.5,10.74,0,0.00,0.0,0.00,13.90,11,7
run-0267,2026-08-07,app-ride-01,2.34,1.96,60.1,7.21,0,0.00,0.0,0.00,11.51,7,6
run-0276,2026-08-07,app-travel-01,1.95,1.36,74.2,8.90,1,1.64,62.5,7.50,21.35,7,4
run-0335,2026-08-07,app-food-01,3.69,1.12,103.0,12.37,1,3.21,89.9,10.79,31.18,10,9
run-0376,2026-08-07,app-travel-01,3.56,1.57,106.1,12.73,1,3.52,105.1,12.61,33.99,14,5
run-0377,2026-08-07,app-food-01,2.76,1.28,67.8,8.14,0,0.00,0.0,0.00,12.18,11,10
run-0386,2026-08-07,app-retail-02,2.96,1.31,75.7,9.09,1,2.86,73.1,8.77,24.99,13,9
run-0393,2026-08-07,app-retail-02,2.64,1.53,67.9,8.14,2,3.98,102.5,12.29,28.58,6,4
run-0023,2026-08-08,app-edu-01,3.17,1.33,67.3,8.07,0,0.00,0.0,0.00,12.57,9,4
run-0030,2026-08-08,app-retail-01,2.94,0.93,82.7,9.92,3,7.68,216.1,25.93,47.40,10,5
run-0039,2026-08-08,app-bank-01,2.33,2.03,83.3,10.00,1,1.95,69.7,8.36,24.67,11,10
run-0120,2026-08-08,app-health-01,2.75,1.74,82.0,9.84,2,4.62,137.6,16.51,35.46,11,9
run-0132,2026-08-08,app-ride-01,2.13,1.60,66.1,7.93,1,1.83,56.8,6.82,20.31,9,8
run-0141,2026-08-08,app-retail-01,2.36,1.01,71.9,8.63,0,0.00,0.0,0.00,12.00,11,8
run-0165,2026-08-08,app-bank-01,2.79,1.32,87.9,10.55,1,2.65,83.6,10.03,27.34,14,9
run-0175,2026-08-08,app-edu-01,2.96,1.71,77.1,9.25,1,2.52,65.7,7.88,24.32,5,4
run-0217,2026-08-08,app-travel-01,3.55,1.52,50.5,6.06,0,0.00,0.0,0.00,11.13,8,4
run-0248,2026-08-08,app-food-01,3.51,1.05,46.1,5.53,1,3.07,40.4,4.85,18.01,9,5
run-0284,2026-08-08,app-travel-01,2.86,1.44,75.9,9.11,2,5.39,142.8,17.14,35.94,10,8
run-0305,2026-08-08,app-retail-01,2.02,1.49,78.4,9.41,0,0.00,0.0,0.00,12.92,15,7
run-0358,2026-08-08,app-food-01,1.75,1.88,58.9,7.07,3,4.61,155.2,18.62,33.93,10,8
run-0359,2026-08-08,app-bank-01,1.61,1.62,80.0,9.59,1,1.17,58.2,6.99,20.98,9,4
run-0031,2026-08-09,app-edu-01,1.72,1.44,61.1,7.33,1,1.58,56.0,6.72,18.79,7,5
run-0037,2026-08-09,app-travel-01,3.04,1.65,71.7,8.60,3,7.61,179.8,21.57,42.47,8,4
run-0067,2026-08-09,app-bank-01,3.23,1.53,67.2,8.07,1,2.48,51.5,6.18,21.49,10,10
run-0088,2026-08-09,app-ride-01,3.23,1.51,61.5,7.38,2,5.61,106.9,12.83,30.56,7,5
run-0110,2026-08-09,app-edu-01,3.98,1.23,86.0,10.32,3,9.52,205.7,24.68,49.73,6,4
run-0116,2026-08-09,app-travel-01,2.88,1.12,69.6,8.36,1,2.85,68.8,8.25,23.46,9,4
run-0172,2026-08-09,app-ride-01,3.17,1.92,82.2,9.87,1,2.90,75.3,9.04,26.90,11,8
run-0178,2026-08-09,app-travel-01,4.28,1.59,59.7,7.17,2,6.64,92.8,11.13,30.81,9,5
run-0184,2026-08-09,app-bank-01,3.95,1.57,76.3,9.15,1,3.74,72.2,8.66,27.07,14,10
run-0201,2026-08-09,app-health-01,3.42,1.93,71.0,8.52,2,5.46,113.3,13.60,32.93,8,3
run-0221,2026-08-09,app-retail-01,2.03,1.89,76.2,9.14,0,0.00,0.0,0.00,13.06,8,4
run-0240,2026-08-09,app-travel-01,4.06,1.06,68.5,8.22,1,3.11,52.6,6.31,22.76,11,10
run-0262,2026-08-09,app-retail-02,3.15,1.90,80.1,9.61,1,2.21,56.1,6.73,23.60,8,6
run-0343,2026-08-09,app-edu-01,3.17,1.27,91.7,11.00,1,2.96,85.4,10.25,28.65,10,6
run-0360,2026-08-09,app-health-01,2.57,1.29,84.6,10.15,1,2.09,69.0,8.28,24.38,10,5
run-0371,2026-08-09,app-travel-01,2.73,1.73,56.3,6.76,1,2.70,55.8,6.70,20.62,10,7
run-0381,2026-08-09,app-travel-01,3.38,1.03,69.8,8.38,0,0.00,0.0,0.00,12.79,12,7
run-0382,2026-08-09,app-travel-01,2.93,1.45,62.2,7.47,2,4.81,102.2,12.26,28.92,4,2
run-0014,2026-08-10,app-bank-01,2.23,1.90,78.3,9.39,1,1.90,66.6,7.99,23.41,13,10
run-0038,2026-08-10,app-food-01,1.76,1.54,84.4,10.13,2,3.36,161.1,19.33,36.12,6,3
run-0069,2026-08-10,app-travel-01,2.90,1.33,61.9,7.43,0,0.00,0.0,0.00,11.66,8,5
run-0073,2026-08-10,app-health-01,3.14,1.17,77.0,9.24,1,2.95,72.4,8.69,25.19,9,7
run-0113,2026-08-10,app-ride-01,2.50,1.32,58.5,7.02,1,1.80,42.2,5.06,17.70,10,7
run-0131,2026-08-10,app-retail-01,3.49,1.47,68.8,8.26,3,8.87,174.6,20.95,43.04,7,4
run-0194,2026-08-10,app-edu-01,3.24,1.69,84.7,10.17,0,0.00,0.0,0.00,15.10,10,7
run-0209,2026-08-10,app-health-01,3.59,1.73,70.7,8.48,0,0.00,0.0,0.00,13.80,10,9
run-0222,2026-08-10,app-health-01,2.18,1.32,44.5,5.34,0,0.00,0.0,0.00,8.84,11,7
run-0230,2026-08-10,app-travel-01,2.29,1.66,116.6,14.00,1,1.63,82.9,9.95,29.53,9,5
run-0266,2026-08-10,app-food-01,1.94,1.14,98.3,11.79,0,0.00,0.0,0.00,14.87,11,7
run-0295,2026-08-10,app-ride-01,3.69,1.25,70.1,8.41,1,3.31,62.8,7.54,24.20,8,6
run-0315,2026-08-10,app-ride-01,1.77,1.49,69.3,8.32,2,2.54,99.2,11.90,26.02,9,6
run-0355,2026-08-10,app-travel-01,3.04,2.36,76.9,9.23,0,0.00,0.0,0.00,14.63,7,3
run-0361,2026-08-10,app-travel-01,1.77,1.35,106.4,12.76,1,1.65,99.2,11.90,29.43,7,7
run-0389,2026-08-10,app-edu-01,2.84,1.79,50.1,6.02,1,2.18,38.4,4.61,17.44,4,1
run-0096,2026-08-11,app-edu-01,2.77,1.70,69.3,8.32,0,0.00,0.0,0.00,12.79,14,10
run-0155,2026-08-11,app-bank-01,2.78,1.50,85.2,10.22,0,0.00,0.0,0.00,14.50,7,5
run-0196,2026-08-11,app-food-01,2.44,1.28,72.9,8.75,0,0.00,0.0,0.00,12.47,8,7
run-0259,2026-08-11,app-retail-01,2.71,1.05,80.8,9.70,2,5.20,155.1,18.62,37.28,12,9
run-0274,2026-08-11,app-edu-01,2.73,1.31,86.7,10.41,2,4.31,136.8,16.41,35.17,10,8
run-0300,2026-08-11,app-bank-01,3.26,1.45,81.4,9.77,1,2.32,58.0,6.96,23.76,8,6
run-0367,2026-08-11,app-bank-01,2.22,1.44,65.2,7.82,1,2.18,63.8,7.66,21.32,10,9
run-0368,2026-08-11,app-retail-02,2.84,1.15,92.9,11.15,2,5.28,172.4,20.69,41.11,11,6
run-0395,2026-08-11,app-retail-01,3.04,1.45,91.4,10.97,1,2.53,75.9,9.10,27.09,7,1
run-0001,2026-08-12,app-health-01,2.91,1.74,89.3,10.72,0,0.00,0.0,0.00,15.37,8,5
run-0035,2026-08-12,app-food-01,3.47,1.98,67.5,8.09,1,3.36,65.3,7.83,24.73,6,4
run-0092,2026-08-12,app-bank-01,3.57,1.86,66.6,7.99,0,0.00,0.0,0.00,13.42,9,8
run-0094,2026-08-12,app-retail-02,2.73,1.50,68.7,8.24,1,2.11,53.2,6.38,20.96,10,7
run-0127,2026-08-12,app-edu-01,3.91,1.20,79.0,9.48,0,0.00,0.0,0.00,14.59,12,7
run-0136,2026-08-12,app-bank-01,2.67,1.29,42.4,5.08,1,2.37,37.6,4.51,15.92,11,8
run-0177,2026-08-12,app-ride-01,2.17,1.01,92.8,11.14,3,5.61,240.4,28.85,48.78,7,1
run-0271,2026-08-12,app-travel-01,2.79,1.91,77.2,9.26,1,2.45,67.7,8.12,24.53,13,9
run-0272,2026-08-12,app-retail-02,3.27,1.05,59.1,7.09,0,0.00,0.0,0.00,11.41,5,3
run-0277,2026-08-12,app-travel-01,2.45,1.40,76.6,9.19,3,6.12,191.3,22.96,42.12,10,8
run-0328,2026-08-12,app-travel-01,2.85,0.82,58.8,7.05,0,0.00,0.0,0.00,10.72,13,11
run-0339,2026-08-12,app-bank-01,2.38,1.22,66.6,7.99,1,1.88,52.8,6.33,19.80,4,2
run-0350,2026-08-12,app-bank-01,3.74,1.38,82.5,9.90,1,2.78,61.3,7.36,25.16,11,8
run-0374,2026-08-12,app-health-01,2.36,1.78,62.9,7.54,3,5.58,149.0,17.87,35.13,6,3
run-0392,2026-08-12,app-retail-02,2.62,1.52,74.9,8.99,1,1.96,56.0,6.72,21.81,8,6
run-0246,2026-08-13,app-travel-01,3.25,1.29,76.9,9.23,1,2.41,57.0,6.84,23.02,4,3
run-0299,2026-08-13,app-ride-01,2.86,1.77,49.3,5.91,1,2.44,42.1,5.05,18.03,6,3
run-0325,2026-08-13,app-ride-01,2.83,1.41,78.9,9.46,0,0.00,0.0,0.00,13.70,13,9
run-0337,2026-08-13,app-health-01,3.24,1.31,80.4,9.64,1,2.79,69.2,8.30,25.28,4,3
run-0362,2026-08-13,app-retail-01,1.92,2.07,64.1,7.69,1,1.43,47.6,5.71,18.82,10,7
run-0383,2026-08-13,app-retail-01,3.86,1.43,72.9,8.75,3,9.48,179.1,21.49,45.01,11,6
run-0004,2026-08-14,app-edu-01,3.21,1.83,73.9,8.87,2,4.89,112.5,13.50,32.30,11,10
run-0026,2026-08-14,app-health-01,2.92,1.02,85.1,10.21,0,0.00,0.0,0.00,14.15,12,8
run-0057,2026-08-14,app-health-01,2.18,1.82,82.0,9.84,2,3.80,143.2,17.18,34.82,15,13
run-0187,2026-08-14,app-edu-01,2.94,1.14,67.6,8.12,3,6.82,156.7,18.81,37.83,11,8
run-0224,2026-08-14,app-bank-01,3.57,1.57,96.2,11.54,2,6.13,165.0,19.80,42.61,10,7
run-0232,2026-08-14,app-travel-01,2.22,1.06,80.5,9.66,3,5.79,209.5,25.14,43.87,6,3
run-0289,2026-08-14,app-ride-01,3.16,1.66,93.9,11.27,2,5.63,167.4,20.09,41.81,11,7
run-0319,2026-08-14,app-retail-01,3.06,0.93,85.0,10.20,0,0.00,0.0,0.00,14.19,9,7
run-0326,2026-08-14,app-retail-01,2.41,1.58,85.3,10.24,0,0.00,0.0,0.00,14.23,9,6
run-0033,2026-08-15,app-bank-01,2.79,1.40,69.8,8.37,1,2.01,50.4,6.05,20.62,10,4
run-0060,2026-08-15,app-edu-01,3.00,1.68,97.4,11.68,1,2.86,92.9,11.15,30.37,14,11
run-0095,2026-08-15,app-ride-01,3.19,0.54,59.8,7.18,1,2.31,43.3,5.20,18.42,12,8
run-0100,2026-08-15,app-travel-01,3.26,1.47,77.1,9.25,1,2.29,54.1,6.50,22.77,9,4
run-0122,2026-08-15,app-health-01,3.03,1.31,73.0,8.77,0,0.00,0.0,0.00,13.11,12,7
run-0130,2026-08-15,app-ride-01,3.92,1.51,75.9,9.11,0,0.00,0.0,0.00,14.54,7,5
run-0146,2026-08-15,app-ride-01,2.89,0.87,65.1,7.81,1,2.64,59.3,7.12,21.33,12,7
run-0185,2026-08-15,app-edu-01,3.71,1.83,76.1,9.13,2,6.92,142.0,17.04,38.63,12,4
run-0189,2026-08-15,app-retail-02,1.91,1.47,93.5,11.22,0,0.00,0.0,0.00,14.60,9,8
run-0329,2026-08-15,app-food-01,3.59,1.61,70.8,8.50,1,3.57,70.4,8.44,25.71,12,7
run-0351,2026-08-15,app-retail-02,3.21,1.31,72.3,8.67,0,0.00,0.0,0.00,13.19,11,5
run-0356,2026-08-15,app-bank-01,4.10,1.28,93.8,11.26,0,0.00,0.0,0.00,16.64,11,9
run-0079,2026-08-16,app-travel-01,2.61,1.79,57.1,6.85,3,6.30,137.7,16.53,34.08,9,6
run-0145,2026-08-16,app-health-01,2.38,1.64,80.7,9.68,1,2.34,79.2,9.50,25.54,8,2
run-0193,2026-08-16,app-bank-01,2.17,1.59,59.0,7.08,1,1.73,46.9,5.63,18.20,7,4
run-0204,2026-08-16,app-food-01,3.33,1.77,47.3,5.67,1,2.54,36.1,4.33,17.64,9,5
run-0210,2026-08-16,app-ride-01,3.21,1.59,51.5,6.18,2,5.83,93.6,11.23,28.04,13,8
run-0243,2026-08-16,app-health-01,2.10,1.43,87.9,10.55,2,3.86,161.8,19.42,37.36,14,8
run-0244,2026-08-16,app-food-01,3.19,2.04,81.7,9.80,1,2.95,75.6,9.07,27.05,4,4
run-0312,2026-08-16,app-health-01,3.98,1.03,83.8,10.06,0,0.00,0.0,0.00,15.07,8,3
run-0317,2026-08-16,app-health-01,2.74,1.18,64.2,7.70,1,2.54,59.4,7.13,21.29,10,8
run-0348,2026-08-16,app-food-01,3.04,1.80,46.2,5.54,2,5.13,78.0,9.36,24.87,9,4
run-0385,2026-08-16,app-retail-02,2.90,1.64,81.5,9.78,2,4.80,134.7,16.17,35.29,5,4
run-0006,2026-08-17,app-retail-02,4.34,1.51,70.2,8.42,1,3.12,50.4,6.05,23.44,12,8
run-0025,2026-08-17,app-health-01,2.57,1.64,101.3,12.15,2,4.42,173.7,20.84,41.62,10,4
run-0027,2026-08-17,app-retail-02,3.39,1.85,76.2,9.15,2,6.09,136.8,16.42,36.90,6,3
run-0047,2026-08-17,app-edu-01,2.06,0.78,91.4,10.97,2,3.56,158.0,18.97,36.34,11,7
run-0064,2026-08-17,app-retail-02,2.04,1.43,83.4,10.01,0,0.00,0.0,0.00,13.48,10,4
run-0099,2026-08-17,app-edu-01,1.52,1.49,66.6,7.99,2,2.86,125.6,15.07,28.93,9,8
run-0119,2026-08-17,app-ride-01,3.51,0.83,65.8,7.90,1,2.99,56.1,6.73,21.96,9,5
run-0188,2026-08-17,app-health-01,2.73,1.20,77.9,9.34,1,2.04,58.4,7.00,22.31,9,3
run-0190,2026-08-17,app-food-01,2.86,1.49,65.6,7.87,3,7.36,168.9,20.26,39.84,12,8
run-0203,2026-08-17,app-edu-01,3.84,1.07,82.3,9.88,3,9.10,195.2,23.42,47.31,10,5
run-0241,2026-08-17,app-health-01,3.84,1.95,82.5,9.90,1,2.94,63.1,7.58,26.21,12,6
run-0247,2026-08-17,app-ride-01,2.87,1.47,91.2,10.95,2,4.96,157.4,18.89,39.14,10,6
run-0264,2026-08-17,app-ride-01,3.48,1.34,63.1,7.57,0,0.00,0.0,0.00,12.39,8,7
run-0265,2026-08-17,app-travel-01,2.10,1.26,55.6,6.67,2,3.60,95.5,11.46,25.09,12,7
run-0279,2026-08-17,app-retail-01,2.44,1.65,96.5,11.58,3,6.49,256.8,30.82,52.98,8,7
run-0010,2026-08-18,app-ride-01,2.86,1.49,84.9,10.18,0,0.00,0.0,0.00,14.53,9,8
run-0111,2026-08-18,app-health-01,2.93,1.75,82.2,9.86,1,2.76,77.3,9.28,26.58,12,8
run-0117,2026-08-18,app-health-01,1.97,1.62,82.7,9.92,0,0.00,0.0,0.00,13.51,10,6
run-0129,2026-08-18,app-health-01,3.69,0.99,47.2,5.67,1,3.00,38.3,4.60,17.95,11,8
run-0139,2026-08-18,app-travel-01,4.00,1.14,89.8,10.78,2,7.06,158.4,19.00,41.98,9,5
run-0152,2026-08-18,app-ride-01,2.97,1.44,78.8,9.45,1,2.62,69.6,8.35,24.83,11,9
run-0156,2026-08-18,app-retail-02,2.61,1.74,66.3,7.95,1,2.39,60.7,7.29,21.98,9,4
run-0176,2026-08-18,app-ride-01,4.57,1.36,101.3,12.15,0,0.00,0.0,0.00,18.08,12,7
run-0180,2026-08-18,app-travel-01,2.51,1.43,30.3,3.64,3,6.35,76.7,9.20,23.13,13,9
run-0186,2026-08-18,app-retail-02,2.94,1.63,60.3,7.24,0,0.00,0.0,0.00,11.81,13,8
run-0200,2026-08-18,app-edu-01,3.31,1.43,50.1,6.02,0,0.00,0.0,0.00,10.76,14,11
run-0253,2026-08-18,app-travel-01,2.50,0.65,56.0,6.72,1,2.37,53.2,6.38,18.62,9,3
run-0366,2026-08-18,app-retail-01,3.06,1.58,60.2,7.22,1,2.70,53.1,6.37,20.93,9,7
run-0011,2026-08-19,app-food-01,3.26,1.02,84.7,10.16,1,3.20,83.2,9.99,27.63,9,5
run-0022,2026-08-19,app-ride-01,3.75,1.25,70.9,8.50,0,0.00,0.0,0.00,13.50,6,5
run-0049,2026-08-19,app-food-01,2.13,1.58,75.3,9.04,1,1.52,53.8,6.46,20.73,11,7
run-0102,2026-08-19,app-travel-01,3.26,1.24,59.2,7.11,0,0.00,0.0,0.00,11.61,6,1
run-0125,2026-08-19,app-retail-02,2.52,1.07,71.4,8.57,1,2.13,60.4,7.25,21.54,8,6
run-0142,2026-08-19,app-health-01,2.69,1.56,83.2,9.99,0,0.00,0.0,0.00,14.24,10,7
run-0160,2026-08-19,app-health-01,3.76,1.62,77.5,9.30,1,3.32,68.5,8.22,26.22,8,5
run-0182,2026-08-19,app-retail-01,2.92,1.68,72.1,8.65,2,4.65,114.8,13.78,31.68,9,7
run-0197,2026-08-19,app-travel-01,2.78,1.92,85.6,10.27,3,7.63,234.5,28.14,50.74,8,7
run-0252,2026-08-19,app-travel-01,2.38,1.54,81.6,9.79,1,2.36,81.0,9.72,25.79,7,6
run-0254,2026-08-19,app-retail-02,2.78,1.44,61.7,7.41,2,4.55,100.8,12.09,28.27,11,7
run-0270,2026-08-19,app-health-01,2.50,1.59,76.5,9.18,0,0.00,0.0,0.00,13.27,6,3
run-0273,2026-08-19,app-edu-01,2.44,1.32,89.5,10.74,1,2.19,80.3,9.64,26.33,5,3
run-0278,2026-08-19,app-travel-01,1.90,0.98,81.4,9.77,0,0.00,0.0,0.00,12.65,10,3
run-0324,2026-08-19,app-ride-01,2.62,1.97,60.8,7.29,1,1.92,44.5,5.34,19.14,9,7
run-0369,2026-08-19,app-retail-02,3.20,1.22,88.2,10.58,3,8.26,227.5,27.30,50.56,9,7
